Numero,Titre,Auteurs,Villes,Themes,Epoque
Mémoire n°19,Déjà la circulation en 1924 : le tramway à Brié,Pierre Melquiond,Brié et Angonnes,Voies de communication,-
Mémoire n°19,IV - Le fort de Montavie : un projet de reconversion (fin),Michaël Galle,Brié et Angonnes,Bâtiments et édifices,-
Mémoire n°19,IV - Les visites pastorales du Cardinal Le Camus en pays Vizillois : Notre-Dame de Jarrie,Michel Vial,"Champ sur Drac , Jarrie","Religions , Personnages remarquables",-
Mémoire n°19,Les aventures de Basile Bonnardon : médecin à Vizille au XIXe siècle,Robert Aillaud,Vizille,"Personnages remarquables , Médecine",-
Mémoire n°20,Une affaire entre Casimir Périer et Claude Rouget de Lisle,Gérard Mingat,Vizille,"Vie locale , Bâtiments et édifices",-
Mémoire n°20,1843 : Histoire d'eau - 1852 : Histoire de débit de boisson,Bernard Mingone,Séchilienne,Vie locale,-
Mémoire n°20,Les fièvres intermittentes à Vaulnaveys au cours du XVIIIe siècle,Gérard Mingat,Vaulnaveys le haut,"Vie locale , Médecine",-
Mémoire n°20,Mon ami le père Paradis : le dernier des tueurs d'ours,Roger Morard,Claix,Vie locale,-
Mémoire n°20,Le premier gardien de refuge : le père Tasse,Raymond Joffre,Chamrousse,"Tourisme , Lieux remarquables",-
Mémoire n°20,Le bas-relief du château de Vizille,Gérard Mingat,Vizille,", Bâtiments et édifices",-
Mémoire n°20,Un faire-part de décès original,Gérard Mingat,Vizille,Documents remarquables,-
Mémoire n°20,V - Les visites pastorales du Cardinal Le Camus en Pays Vizillois : prieuré de Vaulnaveys,Michel Vial,Vaulnaveys,"Religions , Personnages remarquables",-
Mémoire n°20,Enigme à Champanier Printemps 44,Philippe Vatin-Perignon,Champagnier,"Guerres , Grandes périodes",-
Mémoire n°20,L'élection de St Pierre de Mésage : février 1790,Denis Chambaz,Saint Pierre de Mésage,Vie locale,-
Mémoire n°21,Les mémoires du docteur Bonnardon,Robert Aillaud,Séchilienne,"Personnages remarquables , Médecine",-
Mémoire n°21,Des nouvelles de nos chateaux,Robert Aillaud,Pays vizillois,Actualités,-
Mémoire n°21,Le pont de Vizille et son péage,Bernard François,Vizille,Voies de communication,-
Mémoire n°21,La carte postale témoin de l'histoire,Gérard Mingat,Vizille,Documents remarquables,-
Mémoire n°21,Le centre de documentation du domaine départemental,Robert Aillaud,Vizille,Actualités,-
Mémoire n°21,L'ours de la Poyat,René Faure,Fontaine,Evènements,-
Mémoire n°21,"Trois vizilloises dans la vie ""chamboulée"" des normaliennes",Aline Pignat,Grenoble,Enseignement,-
Mémoire n°21,VI - Les visites pastorales du cardinal Le Camus : pays d'Uriage,Michel Vial,Uriage,"Religions , Personnages remarquables",-
Mémoire n°21,Lieudit et bail à ferme à Jarrie en 1653,Pierre Coing Boyat,Jarrie,"Vie locale , Documents remarquables",-
Mémoire n°22,Votre grand-père fait-il partie de cette brochette de cycliste ?,Robert Aillaud,Vizille,Sport,-
Mémoire n°22,La wehrmacht à Vizille du 10 au 21 aout 1944,Jean Perrin,Vizille,"Guerres , Grandes périodes",-
Mémoire n°22,Raconte grand-père... Souvenirs d'école,Jean Perrin,Vizille,Enseignement,-
Mémoire n°22,La mairie école des Chaberts,Pierre Coing Boyat,Jarrie,Bâtiments et édifices,-
Mémoire n°22,Une maison disparue au passé revenu,Renée Gachet Berthon,Vizille,Bâtiments et édifices,-
Mémoire n°22,Trois siècles de mémoire,Pierre Melquiond,Brié et Angonnes,Personnages remarquables,-
Mémoire n°22,Les présidents de la République vus par un enfant,Paul Wohlschlegel,Vizille,Personnages remarquables,-
Mémoire n°22,Un blason pour la commune de Brié et Angonnes,Patrice Dore,Brié et Angonnes,"Généalogie , Héraldique",-
Mémoire n°22,Un diplôme d'honneur pour Brié et Angonnes,Jean-Claude Ogier,Brié et Angonnes,Documents remarquables,-
Mémoire n°22,Laffrey,Germaine Billon,Laffrey,"Vie locale , Cuisine et recettes",-
Mémoire n°22,I - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Jarrie,Activités agricoles,-
Mémoire n°22,I - L'annuaire d'un curé de campagne aux Angonnes,Pierre Melquiond,Brié et Angonnes,Religions,-
Mémoire n°22,A propos d'un sauvetage,Adrienne Celso,Jarrie,Evènements,-
Mémoire n°22,La mort du maire de Vizille,Adrienne Celso,Vizille,Evènements,-
Mémoire n°23,II - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Jarrie,Activités agricoles,-
Mémoire n°23,Le renard et la cigogne,Albert Ravanat,Pays vizillois,"Patois , Toponymie , Histoires",-
Mémoire n°23,Les sites du canton vous ouvrent leurs portes,Pierre Coing Boyat,Pays vizillois,Actualités,-
Mémoire n°23,La dolomite de St Pierre de Mésage,"Robert Aillaud , José Duarte",Saint Pierre de Mésage,Mines et minéralogie,-
Mémoire n°23,VII - Les visites pastorales du cardinal Le Camus : la Matheysine (fin),Michel Vial,Matheysine,"Bâtiments et édifices , Religions , Personnages remarquables",-
Mémoire n°23,Le domaine Rabit à Herbeys,Marguerite Vianney-Liaud,Herbeys,Personnages remarquables,-
Mémoire n°23,Mondanité à Grenoble et Vizille - 1950,Gérard Mingat,Vizille,Evènements,-
Mémoire n°23,Histoire d'ours dans la montagne de Séchilienne,Bernard Mingone,Séchilienne,Histoires,-
Mémoire n°24,Nouvelles histoires d'ours,Bernard Mingone,Séchilienne,Histoires,-
Mémoire n°24,L'église de Brié,Henri Rey,Brié et Angonnes,"Bâtiments et édifices , Religions",-
Mémoire n°24,Un mésageois à la découverte du monde,Germaine Billon,Saint Pierre de Mésage,Personnages remarquables,-
Mémoire n°24,Les bassins de Notre-Dame de Mésage,Aline Pignat,Notre Dame de Mésage,,-
Mémoire n°24,Dendrochronologie,Pierre Coing Boyat,Pays vizillois,,-
Mémoire n°24,St Sauveur souvenir de guerre,Roger Finet,Notre Dame de Mésage,"Guerres , Grandes périodes",-
Mémoire n°24,Les premiers guides dauphinois sont de Belledonne,Raymond Joffre,Pays vizillois,"Tourisme , Lieux remarquables",-
Mémoire n°24,III - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Jarrie,Activités agricoles,-
Mémoire n°25,"Les suites du spectacle""A la claire fontaine""",Robert Aillaud,Pays vizillois,Actualités,-
Mémoire n°25,IV - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Pays vizillois,Activités agricoles,-
Mémoire n°25,"""La Marianne"" : le monument commémoratif de l'assemble de Vizille",Robert Chagny,Vizille,Bâtiments et édifices,-
Mémoire n°25,II - L'annuaire d'un curé de campagne aux Angonnes,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices , Religions",-
Mémoire n°25,Montjean sur Vizille,Bernard Mingone,Vizille,Vie locale,-
Mémoire n°26,Herbeys dans l'histoire - La complainte du kiosque,Le Kiosque,Herbeys,Evènements,-
Mémoire n°26,Les problèmes de la route des Hautes-Alpes,Pierre Coing Boyat,Jarrie,Voies de communication,-
Mémoire n°26,Histoire de cloche... à Vizille,Michel Vial,Vizille,"Bâtiments et édifices , Religions",-
Mémoire n°26,Les mémoires de Basile Bonnardon,Robert Aillaud,Pays vizillois,"Personnages remarquables , Médecine",-
Mémoire n°26,Le temps des échafaudages,Robert Aillaud,Pays vizillois,"Bâtiments et édifices , Activités artisanales",-
Mémoire n°26,V - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Pays vizillois,Activités agricoles,-
Mémoire n°26,A Brié... Des fontaines républicaines et radicales socialistes,Pierre Melquiond,Brié,"Bâtiments et édifices , Eau, rivières, canaux et fontaines",-
Mémoire n°26,Autour de la légende du mmur du château de Vizille,Jean Guitton,Vizille,Contes et légendes,-
Mémoire n°26,Un hôte de marque à Vizille : Jean Jaurès,"Gérard Mingat , Pierre Coing Boyat",Vizille,"Vie locale , Personnages remarquables",-
Mémoire n°27,Un peu de nouveauté,Robert Aillaud,-,Vie de l'association,-
Mémoire n°27,Assemblé générale des Amis de l'Histoire,Gaby Vair,Montchaboud,Vie de l'association,-
Mémoire n°27,Contribution à l'histoire de la Libération de Vizille. Le 22 aout 1944,Jean Perrin,Vizille,"Guerres , Grandes périodes",-
Mémoire n°27,Les 4 saisons de Léonce et Renée,Magali Roux,Jarrie,Activités agricoles,-
Mémoire n°27,VI - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Jarrie,Activités agricoles,-
Mémoire n°27,Le patronnage Champ - Jarrie,Jeanette Cheveu D'or,"Champ sur Drac , Jarrie",Vie locale,-
Mémoire n°27,Fontaines et bassins de Vaulnaveys-le-Haut,"Jean Guitton , Renée Guitton",Vaulnaveys le haut,"Eau, rivières, canaux et fontaines",-
Mémoire n°27,Le bureau de poste de Brié et Angonnes,Pierre Melquiond,Brié et Angonnes,"Vie locale , Voies de communication",-
Mémoire n°27,Le service postal à Herbeys,Marie-Thérèse Emery,Herbeys,"Vie locale , Voies de communication",-
Mémoire n°27,Mon premier poste d'institutrice,Aline Pignat,Séchilienne,Enseignement,-
Mémoire n°28,Edito,Robert Aillaud,-,Vie de l'association,-
Mémoire n°28,Le saut du moine,"Michel Vial , Henri Jobert",Jarrie,Contes et légendes,-
Mémoire n°28,La fonderie de la mine d'argent de Brandes en Oisans,Bernard François,Brandes en Oisans,Mines et minéralogie,-
Mémoire n°28,Connaissance et actions du patrimoine,Patrice Dore,Brié et Angonnes,"Bâtiments et édifices , Religions",-
Mémoire n°28,Le triste sort de Pierre Guymet-Node de Montchaffrey qui avait un peu trop fêté la St-Barthélémy 1805,"Gérard Mingat , Bernard Mingone","Livet et Gavet , Montchaffrey",Vie locale,-
Mémoire n°28,Recherches sur la première église de Vizille,Jean-Claude Michel,Vizille,"Bâtiments et édifices , Religions",-
Mémoire n°28,VII - Les moulins de Jarrie à travers l'histoire,Pierre Coing Boyat,Jarrie,Activités agricoles,-
Mémoire n°28,L'hydroscope de Montjean,"Jean Guitton , Renée Guitton",Montjean,"Eau, rivières, canaux et fontaines",-
Mémoire n°28,Commune de Livet et Gavet - Aout 1944,Alain Romestant,Livet et Gavet,"Guerres , Grandes périodes",-
Mémoire n°28,Brié et Angonnes - La commune parraine le village martyr ardennais d'Etrepigny (1920),Pierre Melquiond,Brié et Angonnes,"Guerres , Grandes périodes",-
Mémoire n°29,Des amis de l'histoire à l'honneur,-,-,Vie de l'association,-
Mémoire n°29,Souvenirs personnels de la libération de Vizille,Jean Guitton,Vizille,"Guerres , Grandes périodes",-
Mémoire n°29,L'église de Séchilienne,Michel Vial,Séchilienne,"Bâtiments et édifices , Religions",-
Mémoire n°29,Jarrie et ses montagnes,Jeanette Cheveu D'or,Jarrie,"Lieux du pays vizillois , Lieux remarquables",-
Mémoire n°29,Ceux du magnésium,René Villiot,Jarrie,Activités industrielles,-
Mémoire n°29,"Mérimée, professeur d'architecture de Stendhal","Geneviève Dumolard , ? Murienne",-,Personnages remarquables,-
Mémoire n°29,La Pauline,Denise -,Vizille,Histoires,-
Mémoire n°29,"Le chateau de paille : les habitants passent, le cadre reste",Peter Fletcher,Vizille,"Vie locale , Histoires",-
Mémoire n°29,Lucis Baud (1870 - 1913),Gérard Mingat,Vizille,"Vie locale , Personnages remarquables",-
Mémoire n°30,Une journée festive et conviviale - 100 ans d'école à Vizille,-,Vizille,Vie de l'association,-
Mémoire n°30,Un cas de rage à Vizille,Pascale Beyls,Vizille,Médecine,-
Mémoire n°30,Notre-Dame des Autels à Champ-sur-Drac,Michel Vial,Champ sur Drac,"Bâtiments et édifices , Religions",-
Mémoire n°30,Le tourisme en Oisans,Raymond Joffre,L'Oisans,Tourisme,-
Mémoire n°30,Visite du château de Vizille en 1628,Robert Aillaud,Vizille,Bâtiments et édifices,-
Mémoire n°30,Vizille et ses commerces - 1ère partie de la rue Général De Gaulle,-,Vizille,Vie locale,XXIe siècle
Mémoire n°30,Quatre ans de retard pour la classe,-,Vizille,Vie locale,-
Mémoire n°30,L'antiquité du plateau de Champagnier,Pierre Melquiond,Champagnier,Archéologie,-
Mémoire n°31,"La photographie, irremplacable témoin",Robert Aillaud,-,Vie de l'association,-
Mémoire n°31,17 juin 1788 - 14 juillet 1789,-,-,Grandes périodes,-
Mémoire n°31,Une famille au Bessey d'Oz au siècle dernier,Michelle Tournoud,Bessey d'Oz,Vie locale,-
Mémoire n°31,"1790 : Dominique Bonnet, curé de St Pierre de Mésage, prête serment à la Constitution Civile du Clergé","Denis Chambaz , Pierre Coing Boyat",Saint Pierre de Mésage,"Religions , Evènements",-
Mémoire n°31,Vizille et ses commerces : la place Stalingrad,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
Mémoire n°31,100 ans d'école à Vizille - Encore des témoignages,Ecole Paul Langevin,Vizille,Vie locale,-
Mémoire n°31,La Fayette à Vizille,Germaine Billon,Vizille,"Vie locale , Personnages remarquables",-
Mémoire n°31,Un café peu ordinaire,Paul Wohlschlegel,Rioupéroux,Vie locale,-
Mémoire n°31,Souvenirs au fil du temps : les usines de l'Alliance et du Tissage,Magali Roux,Vizille,Activités industrielles,-
Mémoire n°31,"Commune de Livet et Gavet, aout 1944",Alain Romestant,Livet et Gavet,"Guerres , Grandes périodes",-
Mémoire n°31,Un accident du train de la société des VFD,Gérard Mingat,"La Paute , Bourg d'Oisans",Voies de communication,-
Mémoire n°32,Femmes,-,Herbeys,Personnages remarquables,-
Mémoire n°32,Le tragique éboulement du 1er avril 1827 à Séchilienne,Bernard Mingone,Séchilienne,Evènements,-
Mémoire n°32,Etrange détour dans la destinée d'un pionnier de l'Alpe d'Huez,Roger Canac,L'Alpe d'Huez,Personnages remarquables,-
Mémoire n°32,Des nouvelles de 1903,Jean Perrier,Grenoble,Activités industrielles,-
Mémoire n°32,Industries minières et métallurgiques tombées dans l'oubli à Vaulnaveys-le-Bas et à Uriage,"B ? Bronner , Claude Bronner","Uriage , Vaulnaveys le bas",Mines et minéralogie,-
Mémoire n°32,"L'électrification de Grenoble, un enjeu disputé",Alain Romestant,Grenoble,Activités industrielles,-
Mémoire n°32,Vizille et ses commerces : un quartier dans la ville,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
Mémoire n°32,A lire... ou à danser,-,Pays vizillois,Vie de l'association,-
Mémoire n°32,100 ans d'école à Vizille - Encore des témoignages,Danielle Amar,Vizille,Vie locale,-
Mémoire n°32,"Personnages et demeures de Jarrie, Bon Repos et la Valentine au temps des Vaucanson et Benoit Duperier",Pierre Coing Boyat,Jarrie,"Bâtiments et édifices , Personnages remarquables",-
Mémoire n°32,Ils auraient 100 ans cette année - classe 1927 de Vizille,Gérard Mingat,Vizille,"Vie locale , Personnages remarquables",-
Mémoire n°33,Structure et histoire géologique du plateau de champagnier,Robert Aillaud,Champagnier,Mines et minéralogie,-
Mémoire n°33,Géologie et contruction,Robert Aillaud,Champagnier,"Bâtiments et édifices , Mines et minéralogie",-
Mémoire n°33,Des passionnés d'aviation,Alain Romestant,Vizille,Vie locale,-
Mémoire n°33,Vizille et ses commerces : dernière partie de la rue Général de Gaulle,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
Mémoire n°33,Année 1815 : le retour de Napoléon et son passage à Vizille,Gilbert Gacon,Vizille,"Personnages remarquables , Evènements",-
Mémoire n°33,Les aventures du capitaine Randon en marge du passage de Napoléon à Vizille,Robert Aillaud,Vizille,"Personnages remarquables , Evènements",-
Mémoire n°33,Un peu de mémoire qui s'en va,-,-,Actualités,-
Mémoire n°33,Edition,-,-,Actualités,-
Mémoire n°33,Un vizillois Huguenot émigré en Prusse au XVIIe siècle,Gérard Mingat,Vizille,Personnages remarquables,-
Mémoire n°33,A propos du chevalier Bayard et du chateau d'Uriage,Geneviève Dumolard,Uriage,Bâtiments et édifices,-
Mémoire n°34,Encore deux nouvelles éditions,Robert Aillaud,-,Actualités,-
Mémoire n°34,"Vizille : foires, marchés, quinzaines commerciales, braderies",Jeannette Della-Vedova,Vizille,Vie locale,XXe siècle
Mémoire n°34,Du chateau médiéval au palais du Connétable,Céline Laforest,Vizille,Bâtiments et édifices,-
Mémoire n°34,Le chateau de Vizille avant la Révolution Française,Céline Laforest,Vizille,Bâtiments et édifices,-
Mémoire n°34,Fresque de la façade de l'école Jean Jaurès,Yvette Bonnaire,Vizille,Vie locale,-
Mémoire n°34,Quand la restauration d'objets du patrimoins provoque une cérémonie officielle de l'église catholique,Patrice Dore,Vizille,"Bâtiments et édifices , Religions",-
Mémoire n°34,La mine de zinc de Laffrey : une ruineuse chimère,Claude Bronner,Laffrey,Mines et minéralogie,-
Mémoire n°34,L'incendie du village de Montchaffrey,Bernard Mingone,Montchaffrey,Evènements,-
Mémoire n°34,"Le tonneau de Diogène, Diogène le cynique",Alain Romestant,-,Personnages remarquables,-
Mémoire n°34,"Olivier Messiaen, l'un des plus grands musiciens du XXe siècle à Petichet",Pierre Coing Boyat,Petichet,Personnages remarquables,-
Mémoire n°34,1816 : le coup d'état manqué de Jean-Paul Didier,Gilbert Gacon,Pays vizillois,Evènements,-
Mémoire n°34,"Un peu de toponymie : chanse, chansure...",André Frances,Pays vizillois,"Patois , Toponymie",-
Mémoire n°34,Un triste mois de janvier à Brié : le meurtre du café restaurant Vigier,Pierre Melquiond,Brié,Actualités,-
Mémoire n°34,Actualités,-,-,Actualités,-
Mémoire n°34,Les anciennes familles de Brié et Angonnes : la famille Ogier,Pierre Melquiond,Brié et Angonnes,Personnages remarquables,-
Mémoire n°35,"La ferme ""présidentielle"" du chateau de Vizille",Danielle Amar,Vizille,Bâtiments et édifices,-
Mémoire n°35,Promenade découverte à partir du saut du moine,Alain Romestant,Champagnier,Activités industrielles,-
Mémoire n°35,Nos hommes de la révolutions,Pierre Melquiond,Pays vizillois,Personnages remarquables,-
Mémoire n°35,"Vizille et ses commerces - Les rues : Casimir. Périer, de la République, Sadi Carnot",Jeannette Della-Vedova,Vizille,Vie locale,XXe siècle
Mémoire n°35,I - Le parc du chateau du roi,Denis Bellon,Vizille,Bâtiments et édifices,-
Mémoire n°35,Le chateau des Simianes à Haute-Jarrie,Pierre Coing Boyat,Jarrie,Bâtiments et édifices,-
Mémoire n°35,"Souvenirs de Georges Vivier : un ""personnage"", une ""figure"" humaniste",Pierre Coing Boyat,Jarrie,Personnages remarquables,-
Mémoire n°36,La toponymie,Robert Aillaud,-,"Patois , Toponymie",-
Mémoire n°36,Fermage à Chachatier en 1730,Bernard Mingone,Vaulnaveys le bas,Activités agricoles,-
Mémoire n°36,Un courroux... magistral,Paul Kiener,Vizille,Vie locale,-
Mémoire n°36,La méridienne du bar de la Paix,Denis Bellon,Vizille,Bâtiments et édifices,-
Mémoire n°36,Hercule de retour à Vizille,Robert Aillaud,Vizille,Bâtiments et édifices,-
Mémoire n°36,"Vizille, les maisons de l'abbé Pierre",Jeannette Della-Vedova,Vizille,Vie locale,XXe siècle
Mémoire n°36,Accident miraculeux à Huez,Michèle Bruyat,L'Alpe d'Huez,Evènements,-
Mémoire n°36,Barrage de l'Etroit... de l'eau qui a fait couler beaucoup d'encre!,Alain Romestant,Pays vizillois,"Eau, rivières, canaux et fontaines",-
Mémoire n°36,"A Brié, elles aussi ont une histoire",Pierre Melquiond,Brié,Vie locale,-
Mémoire n°36,Brié et ses environs en 1922 : promenade d'automne autour des 4 seigneurs,Pierre Melquiond,Eybens,Vie locale,-
Mémoire n°36,Curiosités de nos archives communales - Jarrie,Pierre Coing Boyat,Jarrie,Documents remarquables,-
Mémoire n°36,Eté 2009 - Patrimoine en fête,-,Pays vizillois,Actualités,-
Mémoire n°36,La desserte ferroviaire de la vallée de la Romanche,Jean-Louis Rochaix,L'Oisans,Voies de communication,-
Mémoire n°36,Appel à témoins,-,-,-,-
Mémoire n°37,Le patrimoine vizillois,Robert Aillaud,"Pays vizillois , Vizille",Bâtiments et édifices,-
Mémoire n°37,Brié et ses environs en 1922 : promenade d'automne autour des 4 Seigneurs,J. Vaujany,Herbeys,Vie locale,-
Mémoire n°37,Canal de navigation ou chemin de fer entre Grenoble et Vizille - Rêves et réalité,Alain Romestant,Vizille,"Voies de communication , Eau, rivières, canaux et fontaines",-
Mémoire n°37,Vizille et ses commerces : La rue Aristide Briand (rue d'Italie),Jeannette Della-Vedova,Vizille,Vie locale,-
Mémoire n°37,II - Le parc du vieux château du roi,Denis Bellon,Vizille,Bâtiments et édifices,-
Mémoire n°37,Souvenirs d'enfance de Gavet au Poursollet,Annie Achard,Livet et Gavet,Vie locale,-
Mémoire n°37,Centenaire des sapeurs-pompiers de Brié et Angonnes : 1909-2009,Paul Wohlschlegel,Brié,Evènements,-
Mémoire n°37,L'auto-école il y a 40 ans,Robert Guillaud,Vizille,Vie locale,-
Mémoire n°37,La prise du château de Champ par Lesdiguières le 1er avril 1587,Robert Aillaud,Champ sur Drac,Evènements,-
Mémoire n°37,Une très jeune dame de 100 ans,Renée Gachet Berthon,Vizille,Personnages remarquables,-
Mémoire n°37,Le petit musée de la coiffure,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
Mémoire n°37,Curiosités de nos archives communales - Les curés racontent l'histoire,Pierre Coing Boyat,Haute-Jarrie,"Bâtiments et édifices , Religions",-
Mémoire n°37,La masse d'arme du Chevalier Bayard,Robert Aillaud,-,"Personnages remarquables , Evènements",-
Mémoire n°38,Adrienne,Robert Aillaud,Jarrie,Personnages remarquables,-
Mémoire n°38,La pierre plate à Rioupéroux,Annie Achard,Rioupéroux,Lieux remarquables,-
Mémoire n°38,Vizille et ses comerces : la boucherie Cret - 1908 à 1979 -1ère partie de la rue Jean Jaurès,Jeannette Della-Vedova,Vizille,Vie locale,XXe siècle
Mémoire n°38,Vizille et ses commerces : La rue Aristide Briand (rue d'Italie) - 2ème partie,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
Mémoire n°38,Brié et ses environs en 1922 : promenade d'automne autour des 4 Seigneurs,J. Vaujany,Villeneuve d'Uriage,Vie locale,-
Mémoire n°38,Ou l'on retrouve les Hache ?,Pierre Melquiond,Brié,Personnages remarquables,-
Mémoire n°38,Une ténébreuse affaire : la conspiration Didier,Alain Romestant,Pays vizillois,Evènements,-
Mémoire n°38,L'histoire dans les archives - Le fonds Jouvin - Carnet du Sieur Corréard,Pierre Coing Boyat,Jarrie,Documents remarquables,-
Mémoire n°38,A propos de... Les livres de raison,Denis Bellon,France,Documents remarquables,-
Mémoire n°38,L'alambic de la Gaffe,Renée Rodolphe Vigroux,Vizille,Vie locale,-
Mémoire n°38,Le chateau de paille dans les années 50,Michèle Ferrafiat Delahaye,Vizille,Vie locale,-
Mémoire n°38,Histoires d'eaux au château de Paille,Denis Bellon,Vizille,"Eau, rivières, canaux et fontaines",-
Mémoire n°38,Ozias Féronce : un grand astronome vizillois méconnu,Robert Aillaud,Vizille,Personnages remarquables,-
Mémoire n°38,Attention... aux excès de vitesse !,Bernard Mingone,Séchilienne,Documents remarquables,-
Mémoire n°39,Hommage à Pierre Melquiond,Robert Aillaud,Brié et Angonnes,Personnages remarquables,-
Mémoire n°39,Histoire de la Poste (1e partie) à Vizille,Paul Fournier,Vizille,"Vie locale , Voies de communication",-
Mémoire n°39,Sur la route de Montchaffrey,Jeannette Della-Vedova,Montchaffrey,Voies de communication,XXe siècle
Mémoire n°39,Le secret d'Hercule - Conte de Noël,Jeannette Della-Vedova,Vizille,Contes et légendes,XXIe siècle
Mémoire n°39,Un ouvrage sur le château de Bon Repos,-,Jarrie,Bâtiments et édifices,-
Mémoire n°39,L'histoire dans les archives (suite),Pierre Coing Boyat,Jarrie,Documents remarquables,-
Mémoire n°39,L'authenticité éxigée par l'histoire,Pierre Melquiond,Brié et Angonnes,Documents remarquables,-
Mémoire n°39,Emile Rivet,Germaine Billon,Saint Pierre de Mésage,Personnages remarquables,-
Mémoire n°39,Les cavalcades à Vizille (1e partie),Danielle Amar,Vizille,Evènements,-
Mémoire n°39,"1310 - 2010, déjà 700 ans! Les libertés communales de Vizille",Denis Bellon,Vizille,Documents remarquables,-
Mémoire n°39,Les chroniques oubliées : le contrat de mariage,Claude Ferradou,Saint Pierre de Mésage,Documents remarquables,-
Mémoire n°39,Appel à recettes,Denis Bellon,Pays vizillois,Cuisine et recettes,-
Mémoire n°39,La fabrication du pain à la ferme,Germaine Billon,-,Cuisine et recettes,-
Mémoire n°41,Témoignage de Micheline Hauss,Micheline Hauss,Vizille,Personnages remarquables,-
Mémoire n°41,Tous à vos souvenirs ! Qui peut compléter cette grille ?,-,Pays vizillois,Souvenirs,-
Mémoire n°41,Les hommes de la conspiration Didier,Alain Romestant,Pays vizillois,Personnages remarquables,-
Mémoire n°41,Histoire de la Poste (2e partie),Paul Fournier,Vizille,Vie locale,-
Mémoire n°41,Les cavalcades à Vizille (2e partie),Danielle Amar,Vizille,Evènements,-
Mémoire n°41,Les chroniques oubliées : le contrat de mariage,Claude Ferradou,Saint Pierre de Mésage,Documents remarquables,-
Mémoire n°41,Historique de la maison Chamoux,? Chamoux,Vizille,Vie locale,-
Mémoire n°41,Vizille et ses commerces : la rue Jean Jaurès (suite),Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
Mémoire n°41,Etre royaliste,-,France,Documents remarquables,-
Mémoire n°41,La tradition de Guignol à Uriage,Charles Paillet,Uriage,Evènements,-
Mémoire n°41,Notre-Dame-de-Jarrie,Pierre Coing Boyat,Jarrie,Vie locale,-
Mémoire n°41,Berthe Vial,Yves Vial,Vizille,Personnages remarquables,-
Mémoire n°41,"Le fils d'Ozias Féronce, l'astronome vizillois",Robert Aillaud,Vizille,Personnages remarquables,-
Mémoire n°42,Le cimetière de Vizille,Daniel Blanc-Gonnet,Vizille,Bâtiments et édifices,-
Mémoire n°42,Le monument aux morts de Vizille,Denis Bellon,Vizille,Bâtiments et édifices,-
Mémoire n°42,"Les Jeux Olympiques modernes, une invention Grenobloise","Gérard Mingat , Alain Romestant",Grenoble,Evènements,-
Mémoire n°42,Repas de fête,Paul Wohlschlegel,Vizille,Vie locale,-
Mémoire n°42,Notre-Dame-de-Jarrie (2e partie),Pierre Coing Boyat,Jarrie,Vie locale,-
Mémoire n°42,Le Lac Mort de Laffrey à Saint-Barthélémy-de-Séchilienne,Alain Romestant,Séchilienne,"Vie locale , Activités industrielles",-
Mémoire n°42,Mon premier travail...,Marie Del Net,Vizille,Vie locale,-
Mémoire n°42,Curiosité,Paul Fournier,Vizille,Documents remarquables,-
Mémoire n°42,Histoire de la Poste à Vizille (3e partie),Paul Fournier,Vizille,Vie locale,-
Mémoire n°42,Cavalcades organisées par le Comité du sou des écoles (3e partie),Danielle Amar,Vizille,Evènements,-
Mémoire n°42,Mon enfance à Livet - Jeanne Fagno née Bergonzoli,Jeannette Della-Vedova,Livet et Gavet,Personnages remarquables,XXe siècle
Mémoire n°42,La chapelle Notre-Dame-sous-la-Croix à Chamrousse,Charles Paillet,Chamrousse,"Bâtiments et édifices , Religions",-
Mémoire n°42,Souvenirs d'enfance aux Peyrauds,Germaine Billon,Saint Pierre de Mésage,Vie locale,-
Mémoire n°42,Parcours d'un Français libre,Gwénaëlle Leyssieux,Vizille,Personnages remarquables,-
Mémoire n°42,La vie de l'association,Denis Bellon,Vizille,Actualités,-
Mémoire n°43,Avis de recherche,-,Vizille,Evènements,-
Mémoire n°43,Les orgues historiques de Vizille,Denis Bellon,Vizille,"Bâtiments et édifices , Musique",-
Mémoire n°43,La chapelle des Angonnes en 1867,Patrice Dore,Vizille,"Bâtiments et édifices , Religions",-
Mémoire n°43,Histoire de la Reine de Mai ou le conte de l'Aspérule,Claude Ferradou,Pays vizillois,Contes et légendes,-
Mémoire n°43,Les fêtes de Jarrie en 1867,Pierre Coing Boyat,Jarrie,Vie locale,-
Mémoire n°43,Les tenues des facteurs,Paul Kiener,France,Personnages remarquables,-
