Numéro,Titre,Auteur(s),Theme(s),Ville(s)
Mémoire n°17,Chroniques de Champagnier dans les grimoires de Bonrepos  ,['Pierre coing boyat'],"['Documents remarquables', 'Vie locale']",Champagnier
Mémoire n°17,II - Les visites pastorales du Cardinal Le Camus en Pays Vizillois  ,['Michel vial'],"['Personnages remarquables', 'Religions']",Pays vizillois
Mémoire n°18,Il était une fois Jarrie : traditions chrétiennes d'antan  ,"[""Jeanette cheveu d'or""]",['Religions'],Jarrie
Mémoire n°18,1943 - 1944 : la voiture au gazo de mon père  ,['Jean perrin'],"['Grandes périodes', 'Guerres', 'Vie locale']",Vizille
Mémoire n°18,29 février 1632 : ordonnance de médecins lyonnais  ,['Pierre coing boyat'],['Médecine'],Lyon
Mémoire n°18,St Jean de Vaulx  ,['Germaine billon'],['Vie locale'],Saint jean de vaux
Mémoire n°18,Comment Lesdiguières punit cruellement Jacquet le Maraudeur ,['Germaine billon'],['Contes et légendes'],Vizille
Mémoire n°18,Les distractions vers les années 30  ,['Aline pignat'],['Vie locale'],Notre dame de mésage
Mémoire n°18,"Vizille, camp des veilles ou pays des eaux  ",['André frances'],"['Patois', 'Toponymie']",Vizille
Mémoire n°18,16 juillt 1911 : Remédo pire que le mâ  ,['Raymond joffre'],"['Patois', 'Toponymie']",Vaulnaveys le bas
Mémoire n°18,III - Les visites pastorales du Cardinal Le Camus en Pays Vizillois ,['Michel vial'],"['Personnages remarquables', 'Religions']",Saint barthélémy de séchilienne
Mémoire n°18,III - Les visites pastorales du Cardinal Le Camus en Pays Vizillois ,['Michel vial'],"['Personnages remarquables', 'Religions']",Séchilienne
Mémoire n°18,III - Le fort de Montavie : un projt de reconversion  ,['Michaël galle'],['Bâtiments et édifices'],Brié et angonnes
Mémoire n°18,Mémoire d'une communauté : visages de Jarrie  ,['Robert aillaud'],['Actualités'],Jarrie
Mémoire n°18,Mémoire d'une communauté : visages de Jarrie  ,['Robert aillaud'],['Actualités'],Vizille
Mémoire n°19,Il était une fois Jarrie : nos pélerinages  ,"[""Jeanette cheveu d'or""]","['Religions', 'Vie locale']",Jarrie
Mémoire n°19,La famille de Saint-Léger fête 1000 ans d'histoire  ,['Bernard de saint-léger'],"['Généalogie', 'Héraldique']",Jarrie
Mémoire n°19,Sur les traces d'André Charvet : citoyen vizillois  ,['Robert aillaud'],['Documents remarquables'],Vizille
Mémoire n°19,"Belledonne ou ""qui sait le mot sait les choses"" (Platon dans ""Le Cratyle"")  ",['Raymond joffre'],"['Lieux remarquables', 'Tourisme']",Belledonne
Mémoire n°19,Contrat de mariage  ,['Yves marcel'],"['Documents remarquables', 'Généalogie', 'Héraldique']",Séchilienne
Mémoire n°19,La chapelle baroque des Angonnes  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°19,Déjà la circulation en 1924 : le tramway à Brié  ,['Pierre melquiond'],['Voies de communication'],Brié et angonnes
Mémoire n°19,IV - Le fort de Montavie : un projet de reconversion (fin)  ,['Michaël galle'],['Bâtiments et édifices'],Brié et angonnes
Mémoire n°19,IV - Les visites pastorales du Cardinal Le Camus en pays Vizillois : Notre-Dame de Jarrie  ,['Michel vial'],"['Personnages remarquables', 'Religions']",Champ sur drac
Mémoire n°19,IV - Les visites pastorales du Cardinal Le Camus en pays Vizillois : Notre-Dame de Jarrie  ,['Michel vial'],"['Personnages remarquables', 'Religions']",Jarrie
Mémoire n°19,Les aventures de Basile Bonnardon : médecin à Vizille au XIXe siècle  ,['Robert aillaud'],"['Médecine', 'Personnages remarquables']",Vizille
Mémoire n°20,Une affaire entre Casimir Périer et Claude Rouget de Lisle  ,['Gérard mingat'],"['Bâtiments et édifices', 'Vie locale']",Vizille
Mémoire n°20,1843 : Histoire d'eau - 1852 : Histoire de débit de boisson  ,['Bernard mingone'],['Vie locale'],Séchilienne
Mémoire n°20,Les fièvres intermittentes à Vaulnaveys au cours du XVIIIe siècle  ,['Gérard mingat'],"['Médecine', 'Vie locale']",Vaulnaveys le haut
Mémoire n°20,Mon ami le père Paradis : le dernier des tueurs d'ours  ,['Roger morard'],['Vie locale'],Claix
Mémoire n°20,Le premier gardien de refuge : le père Tasse  ,['Raymond joffre'],"['Lieux remarquables', 'Tourisme']",Chamrousse
Mémoire n°20,Le bas-relief du château de Vizille  ,['Gérard mingat'],['Bâtiments et édifices'],Vizille
Mémoire n°20,Un faire-part de décès original  ,['Gérard mingat'],['Documents remarquables'],Vizille
Mémoire n°20,V - Les visites pastorales du Cardinal Le Camus en Pays Vizillois : prieuré de Vaulnaveys ,['Michel vial'],"['Personnages remarquables', 'Religions']",Vaulnaveys
Mémoire n°20,Enigme à Champanier Printemps 44  ,['Philippe vatin-perignon'],"['Grandes périodes', 'Guerres']",Champagnier
Mémoire n°20,L'élection de St Pierre de Mésage : février 1790  ,['Denis chambaz'],['Vie locale'],Saint pierre de mésage
Mémoire n°21,Les mémoires du docteur Bonnardon  ,['Robert aillaud'],"['Médecine', 'Personnages remarquables']",Séchilienne
Mémoire n°21,Des nouvelles de nos chateaux  ,['Robert aillaud'],['Actualités'],Pays vizillois
Mémoire n°21,Le pont de Vizille et son péage  ,['Bernard françois'],['Voies de communication'],Vizille
Mémoire n°21,La carte postale témoin de l'histoire  ,['Gérard mingat'],['Documents remarquables'],Vizille
Mémoire n°21,Le centre de documentation du domaine départemental  ,['Robert aillaud'],['Actualités'],Vizille
Mémoire n°21,L'ours de la Poyat  ,['René faure'],['Evènements'],Fontaine
Mémoire n°21,"Trois vizilloises dans la vie ""chamboulée"" des normaliennes  ",['Aline pignat'],['Enseignement'],Grenoble
Mémoire n°21,VI - Les visites pastorales du cardinal Le Camus : pays d'Uriage  ,['Michel vial'],"['Personnages remarquables', 'Religions']",Uriage
Mémoire n°21,Lieudit et bail à ferme à Jarrie en 1653  ,['Pierre coing boyat'],"['Documents remarquables', 'Vie locale']",Jarrie
Mémoire n°22,Votre grand-père fait-il partie de cette brochette de cycliste ?  ,['Robert aillaud'],['Sport'],Vizille
Mémoire n°22,La wehrmacht à Vizille du 10 au 21 aout 1944  ,['Jean perrin'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°22,Raconte grand-père... Souvenirs d'école  ,['Jean perrin'],['Enseignement'],Vizille
Mémoire n°22,La mairie école des Chaberts  ,['Pierre coing boyat'],['Bâtiments et édifices'],Jarrie
Mémoire n°22,Une maison disparue au passé revenu  ,['Renée gachet berthon'],['Bâtiments et édifices'],Vizille
Mémoire n°22,Trois siècles de mémoire  ,['Pierre melquiond'],['Personnages remarquables'],Brié et angonnes
Mémoire n°22,Les présidents de la République vus par un enfant  ,['Paul wohlschlegel'],['Personnages remarquables'],Vizille
Mémoire n°22,Un blason pour la commune de Brié et Angonnes  ,['Patrice dore'],"['Généalogie', 'Héraldique']",Brié et angonnes
Mémoire n°22,Un diplôme d'honneur pour Brié et Angonnes  ,['Jean-claude ogier'],['Documents remarquables'],Brié et angonnes
Mémoire n°22,Laffrey  ,['Germaine billon'],"['Cuisine et recettes', 'Vie locale']",Laffrey
Mémoire n°22,I - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Jarrie
Mémoire n°22,I - L'annuaire d'un curé de campagne aux Angonnes  ,['Pierre melquiond'],['Religions'],Brié et angonnes
Mémoire n°22,A propos d'un sauvetage  ,['Adrienne celso'],['Evènements'],Jarrie
Mémoire n°22,La mort du maire de Vizille  ,['Adrienne celso'],['Evènements'],Vizille
Mémoire n°23,II - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Jarrie
Mémoire n°23,Le renard et la cigogne  ,['Albert ravanat'],"['Histoires', 'Patois', 'Toponymie']",Pays vizillois
Mémoire n°23,Les sites du canton vous ouvrent leurs portes  ,['Pierre coing boyat'],['Actualités'],Pays vizillois
Mémoire n°23,La dolomite de St Pierre de Mésage  ,"['José duarte', 'Robert aillaud']",['Mines et minéralogie'],Saint pierre de mésage
Mémoire n°23,VII - Les visites pastorales du cardinal Le Camus : la Matheysine (fin) ,['Michel vial'],"['Bâtiments et édifices', 'Personnages remarquables', 'Religions']",Matheysine
Mémoire n°23,Le domaine Rabit à Herbeys  ,['Marguerite vianney-liaud'],['Personnages remarquables'],Herbeys
Mémoire n°23,Mondanité à Grenoble et Vizille - 1950  ,['Gérard mingat'],['Evènements'],Vizille
Mémoire n°23,Histoire d'ours dans la montagne de Séchilienne  ,['Bernard mingone'],['Histoires'],Séchilienne
Mémoire n°24,Nouvelles histoires d'ours  ,['Bernard mingone'],['Histoires'],Séchilienne
Mémoire n°24,L'église de Brié  ,['Henri rey'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°24,Un mésageois à la découverte du monde  ,['Germaine billon'],['Personnages remarquables'],Saint pierre de mésage
Mémoire n°24,Les bassins de Notre-Dame de Mésage  ,['Aline pignat'],[],Notre dame de mésage
Mémoire n°24,Dendrochronologie  ,['Pierre coing boyat'],[],Pays vizillois
Mémoire n°24,St Sauveur souvenir de guerre  ,['Roger finet'],"['Grandes périodes', 'Guerres']",Notre dame de mésage
Mémoire n°24,Les premiers guides dauphinois sont de Belledonne  ,['Raymond joffre'],"['Lieux remarquables', 'Tourisme']",Pays vizillois
Mémoire n°24,III - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Jarrie
Mémoire n°25,"Les suites du spectacle""A la claire fontaine""  ",['Robert aillaud'],['Actualités'],Pays vizillois
Mémoire n°25,IV - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Pays vizillois
Mémoire n°25,"""La Marianne"" : le monument commémoratif de l'assemble de Vizille  ",['Robert chagny'],['Bâtiments et édifices'],Vizille
Mémoire n°25,II - L'annuaire d'un curé de campagne aux Angonnes  ,['Pierre melquiond'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°25,Montjean sur Vizille  ,['Bernard mingone'],['Vie locale'],Vizille
Mémoire n°26,Herbeys dans l'histoire - La complainte du kiosque  ,['Le kiosque'],['Evènements'],Herbeys
Mémoire n°26,Les problèmes de la route des Hautes-Alpes  ,['Pierre coing boyat'],['Voies de communication'],Jarrie
Mémoire n°26,Histoire de cloche... à Vizille  ,['Michel vial'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°26,Les mémoires de Basile Bonnardon  ,['Robert aillaud'],"['Médecine', 'Personnages remarquables']",Pays vizillois
Mémoire n°26,Le temps des échafaudages  ,['Robert aillaud'],"['Activités artisanales', 'Bâtiments et édifices']",Pays vizillois
Mémoire n°26,V - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Pays vizillois
Mémoire n°26,A Brié... Des fontaines républicaines et radicales socialistes ,['Pierre melquiond'],"['Bâtiments et édifices', 'Canaux et fontaines', 'Eau', 'Rivières']",Brié
Mémoire n°26,Autour de la légende du mmur du château de Vizille  ,['Jean guitton'],['Contes et légendes'],Vizille
Mémoire n°26,Un hôte de marque à Vizille : Jean Jaurès  ,"['Gérard mingat', 'Pierre coing boyat']","['Personnages remarquables', 'Vie locale']",Vizille
Mémoire n°27,Assemblé générale des Amis de l'Histoire  ,['Gaby vair'],"[""Vie de l'association""]",Montchaboud
Mémoire n°27,Contribution à l'histoire de la Libération de Vizille. Le 22 aout 1944  ,['Jean perrin'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°27,Les 4 saisons de Léonce et Renée  ,['Magali roux'],['Activités agricoles'],Jarrie
Mémoire n°27,VI - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Jarrie
Mémoire n°27,Le patronnage Champ - Jarrie  ,"[""Jeanette cheveu d'or""]",['Vie locale'],Champ sur drac
Mémoire n°27,Le patronnage Champ - Jarrie  ,"[""Jeanette cheveu d'or""]",['Vie locale'],Jarrie
Mémoire n°27,Fontaines et bassins de Vaulnaveys-le-Haut  ,"['Jean guitton', 'Renée guitton']","['Canaux et fontaines', 'Eau', 'Rivières']",Vaulnaveys le haut
Mémoire n°27,Le bureau de poste de Brié et Angonnes  ,['Pierre melquiond'],"['Vie locale', 'Voies de communication']",Brié et angonnes
Mémoire n°27,Le service postal à Herbeys  ,['Marie-thérèse emery'],"['Vie locale', 'Voies de communication']",Herbeys
Mémoire n°27,Mon premier poste d'institutrice  ,['Aline pignat'],['Enseignement'],Séchilienne
Mémoire n°28,Le saut du moine  ,"['Henri jobert', 'Michel vial']",['Contes et légendes'],Jarrie
Mémoire n°28,La fonderie de la mine d'argent de Brandes en Oisans  ,['Bernard françois'],['Mines et minéralogie'],Brandes en oisans
Mémoire n°28,Connaissance et actions du patrimoine  ,['Patrice dore'],"['Bâtiments et édifices', 'Religions']",Brié et angonnes
Mémoire n°28,Le triste sort de Pierre Guymet-Node de Montchaffrey qui avait un peu trop fêté la St-Barthélémy 1805  ,"['Bernard mingone', 'Gérard mingat']",['Vie locale'],Livet et gavet
Mémoire n°28,Le triste sort de Pierre Guymet-Node de Montchaffrey qui avait un peu trop fêté la St-Barthélémy 1805  ,"['Bernard mingone', 'Gérard mingat']",['Vie locale'],Montchaffrey
Mémoire n°28,Recherches sur la première église de Vizille  ,['Jean-claude michel'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°28,VII - Les moulins de Jarrie à travers l'histoire  ,['Pierre coing boyat'],['Activités agricoles'],Jarrie
Mémoire n°28,L'hydroscope de Montjean  ,"['Jean guitton', 'Renée guitton']","['Canaux et fontaines', 'Eau', 'Rivières']",Montjean
Mémoire n°28,Commune de Livet et Gavet - Aout 1944  ,['Alain romestant'],"['Grandes périodes', 'Guerres']",Livet et gavet
Mémoire n°28,Brié et Angonnes - La commune parraine le village martyr ardennais d'Etrepigny (1920) ,['Pierre melquiond'],"['Grandes périodes', 'Guerres']",Brié et angonnes
Mémoire n°29,Souvenirs personnels de la libération de Vizille  ,['Jean guitton'],"['Grandes périodes', 'Guerres']",Vizille
Mémoire n°29,L'église de Séchilienne  ,['Michel vial'],"['Bâtiments et édifices', 'Religions']",Séchilienne
Mémoire n°29,Jarrie et ses montagnes  ,"[""Jeanette cheveu d'or""]","['Lieux du pays vizillois', 'Lieux remarquables']",Jarrie
Mémoire n°29,Ceux du magnésium  ,['René villiot'],['Activités industrielles'],Jarrie
Mémoire n°29,La Pauline  ,['Denise -'],['Histoires'],Vizille
Mémoire n°29,"Le chateau de paille : les habitants passent, le cadre reste  ",['Peter fletcher'],"['Histoires', 'Vie locale']",Vizille
Mémoire n°29,Lucis Baud (1870 - 1913)  ,['Gérard mingat'],"['Personnages remarquables', 'Vie locale']",Vizille
Mémoire n°30,Une journée festive et conviviale - 100 ans d'école à Vizille  ,[],"[""Vie de l'association""]",Vizille
Mémoire n°30,Un cas de rage à Vizille  ,['Pascale beyls'],['Médecine'],Vizille
Mémoire n°30,Notre-Dame des Autels à Champ-sur-Drac  ,['Michel vial'],"['Bâtiments et édifices', 'Religions']",Champ sur drac
Mémoire n°30,Le tourisme en Oisans  ,['Raymond joffre'],['Tourisme'],L'oisans
Mémoire n°30,Visite du château de Vizille en 1628  ,['Robert aillaud'],['Bâtiments et édifices'],Vizille
Mémoire n°30,Vizille et ses commerces - 1ère partie de la rue Général De Gaulle  ,[],['Vie locale'],Vizille
Mémoire n°30,Quatre ans de retard pour la classe  ,[],['Vie locale'],Vizille
Mémoire n°30,L'antiquité du plateau de Champagnier  ,['Pierre melquiond'],['Archéologie'],Champagnier
Mémoire n°31,Une famille au Bessey d'Oz au siècle dernier  ,['Michelle tournoud'],['Vie locale'],Bessey d'oz
Mémoire n°31,"1790 : Dominique Bonnet, curé de St Pierre de Mésage, prête serment à la Constitution Civile du Clergé  ","['Denis chambaz', 'Pierre coing boyat']","['Evènements', 'Religions']",Saint pierre de mésage
Mémoire n°31,Vizille et ses commerces : la place Stalingrad  ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°31,100 ans d'école à Vizille - Encore des témoignages  ,['Ecole paul langevin'],['Vie locale'],Vizille
Mémoire n°31,La Fayette à Vizille  ,['Germaine billon'],"['Personnages remarquables', 'Vie locale']",Vizille
Mémoire n°31,Un café peu ordinaire  ,['Paul wohlschlegel'],['Vie locale'],Rioupéroux
Mémoire n°31,Souvenirs au fil du temps : les usines de l'Alliance et du Tissage  ,['Magali roux'],['Activités industrielles'],Vizille
Mémoire n°31,"Commune de Livet et Gavet, aout 1944  ",['Alain romestant'],"['Grandes périodes', 'Guerres']",Livet et gavet
Mémoire n°31,Un accident du train de la société des VFD  ,['Gérard mingat'],['Voies de communication'],Bourg d'oisans
Mémoire n°31,Un accident du train de la société des VFD  ,['Gérard mingat'],['Voies de communication'],La paute
Mémoire n°32,Femmes  ,[],['Personnages remarquables'],Herbeys
Mémoire n°32,Le tragique éboulement du 1er avril 1827 à Séchilienne  ,['Bernard mingone'],['Evènements'],Séchilienne
Mémoire n°32,Etrange détour dans la destinée d'un pionnier de l'Alpe d'Huez  ,['Roger canac'],['Personnages remarquables'],L'alpe d'huez
Mémoire n°32,Des nouvelles de 1903  ,['Jean perrier'],['Activités industrielles'],Grenoble
Mémoire n°32,Industries minières et métallurgiques tombées dans l'oubli à Vaulnaveys-le-Bas et à Uriage ,"['B ? bronner', 'Claude bronner']",['Mines et minéralogie'],Uriage
Mémoire n°32,Industries minières et métallurgiques tombées dans l'oubli à Vaulnaveys-le-Bas et à Uriage ,"['B ? bronner', 'Claude bronner']",['Mines et minéralogie'],Vaulnaveys le bas
Mémoire n°32,"L'électrification de Grenoble, un enjeu disputé  ",['Alain romestant'],['Activités industrielles'],Grenoble
Mémoire n°32,Vizille et ses commerces : un quartier dans la ville  ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°32,A lire... ou à danser  ,[],"[""Vie de l'association""]",Pays vizillois
Mémoire n°32,100 ans d'école à Vizille - Encore des témoignages  ,['Danielle amar'],['Vie locale'],Vizille
Mémoire n°32,"Personnages et demeures de Jarrie, Bon Repos et la Valentine au temps des Vaucanson et Benoit Duperier  ",['Pierre coing boyat'],"['Bâtiments et édifices', 'Personnages remarquables']",Jarrie
Mémoire n°32,Ils auraient 100 ans cette année - classe 1927 de Vizille  ,['Gérard mingat'],"['Personnages remarquables', 'Vie locale']",Vizille
Mémoire n°33,Structure et histoire géologique du plateau de champagnier  ,['Robert aillaud'],['Mines et minéralogie'],Champagnier
Mémoire n°33,Géologie et contruction  ,['Robert aillaud'],"['Bâtiments et édifices', 'Mines et minéralogie']",Champagnier
Mémoire n°33,Des passionnés d'aviation  ,['Alain romestant'],['Vie locale'],Vizille
Mémoire n°33,Vizille et ses commerces : dernière partie de la rue Général de Gaulle  ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°33,Année 1815 : le retour de Napoléon et son passage à Vizille  ,['Gilbert gacon'],"['Evènements', 'Personnages remarquables']",Vizille
Mémoire n°33,Les aventures du capitaine Randon en marge du passage de Napoléon à Vizille ,['Robert aillaud'],"['Evènements', 'Personnages remarquables']",Vizille
Mémoire n°33,Un vizillois Huguenot émigré en Prusse au XVIIe siècle  ,['Gérard mingat'],['Personnages remarquables'],Vizille
Mémoire n°33,A propos du chevalier Bayard et du chateau d'Uriage  ,['Geneviève dumolard'],['Bâtiments et édifices'],Uriage
Mémoire n°34,"Vizille : foires, marchés, quinzaines commerciales, braderies  ",['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°34,Du chateau médiéval au palais du Connétable  ,['Céline laforest'],['Bâtiments et édifices'],Vizille
Mémoire n°34,Le chateau de Vizille avant la Révolution Française  ,['Céline laforest'],['Bâtiments et édifices'],Vizille
Mémoire n°34,Fresque de la façade de l'école Jean Jaurès  ,['Yvette bonnaire'],['Vie locale'],Vizille
Mémoire n°34,Quand la restauration d'objets du patrimoins provoque une cérémonie officielle de l'église catholique ,['Patrice dore'],"['Bâtiments et édifices', 'Religions']",Vizille
Mémoire n°34,La mine de zinc de Laffrey : une ruineuse chimère  ,['Claude bronner'],['Mines et minéralogie'],Laffrey
Mémoire n°34,L'incendie du village de Montchaffrey  ,['Bernard mingone'],['Evènements'],Montchaffrey
Mémoire n°34,"Olivier Messiaen, l'un des plus grands musiciens du XXe siècle à Petichet  ",['Pierre coing boyat'],['Personnages remarquables'],Petichet
Mémoire n°34,1816 : le coup d'état manqué de Jean-Paul Didier  ,['Gilbert gacon'],['Evènements'],Pays vizillois
Mémoire n°34,"Un peu de toponymie : chanse, chansure...  ",['André frances'],"['Patois', 'Toponymie']",Pays vizillois
Mémoire n°34,Un triste mois de janvier à Brié : le meurtre du café restaurant Vigier  ,['Pierre melquiond'],['Actualités'],Brié
Mémoire n°34,Les anciennes familles de Brié et Angonnes : la famille Ogier  ,['Pierre melquiond'],['Personnages remarquables'],Brié et angonnes
Mémoire n°35,"La ferme ""présidentielle"" du chateau de Vizille  ",['Danielle amar'],['Bâtiments et édifices'],Vizille
Mémoire n°35,Promenade découverte à partir du saut du moine  ,['Alain romestant'],['Activités industrielles'],Champagnier
Mémoire n°35,Nos hommes de la révolutions  ,['Pierre melquiond'],['Personnages remarquables'],Pays vizillois
Mémoire n°35,"Vizille et ses commerces - Les rues : Casimir. Périer, de la République, Sadi Carnot  ",['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°35,I - Le parc du chateau du roi  ,['Denis bellon'],['Bâtiments et édifices'],Vizille
Mémoire n°35,Le chateau des Simianes à Haute-Jarrie  ,['Pierre coing boyat'],['Bâtiments et édifices'],Jarrie
Mémoire n°35,"Souvenirs de Georges Vivier : un ""personnage"", une ""figure"" humaniste  ",['Pierre coing boyat'],['Personnages remarquables'],Jarrie
Mémoire n°36,Fermage à Chachatier en 1730  ,['Bernard mingone'],['Activités agricoles'],Vaulnaveys le bas
Mémoire n°36,Un courroux... magistral  ,['Paul kiener'],['Vie locale'],Vizille
Mémoire n°36,La méridienne du bar de la Paix  ,['Denis bellon'],['Bâtiments et édifices'],Vizille
Mémoire n°36,Hercule de retour à Vizille  ,['Robert aillaud'],['Bâtiments et édifices'],Vizille
Mémoire n°36,"Vizille, les maisons de l'abbé Pierre  ",['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°36,Accident miraculeux à Huez  ,['Michèle bruyat'],['Evènements'],L'alpe d'huez
Mémoire n°36,Barrage de l'Etroit... de l'eau qui a fait couler beaucoup d'encre!  ,['Alain romestant'],"['Canaux et fontaines', 'Eau', 'Rivières']",Pays vizillois
Mémoire n°36,"A Brié, elles aussi ont une histoire  ",['Pierre melquiond'],['Vie locale'],Brié
Mémoire n°36,Brié et ses environs en 1922 : promenade d'automne autour des 4 seigneurs  ,['Pierre melquiond'],['Vie locale'],Eybens
Mémoire n°36,Curiosités de nos archives communales - Jarrie  ,['Pierre coing boyat'],['Documents remarquables'],Jarrie
Mémoire n°36,Eté 2009 - Patrimoine en fête  ,[],['Actualités'],Pays vizillois
Mémoire n°36,La desserte ferroviaire de la vallée de la Romanche  ,['Jean-louis rochaix'],['Voies de communication'],L'oisans
Mémoire n°37,Le patrimoine vizillois  ,['Robert aillaud'],['Bâtiments et édifices'],Pays vizillois
Mémoire n°37,Le patrimoine vizillois  ,['Robert aillaud'],['Bâtiments et édifices'],Vizille
Mémoire n°37,Brié et ses environs en 1922 : promenade d'automne autour des 4 Seigneurs ,['J. vaujany'],['Vie locale'],Herbeys
Mémoire n°37,Canal de navigation ou chemin de fer entre Grenoble et Vizille - Rêves et réalité  ,['Alain romestant'],"['Canaux et fontaines', 'Eau', 'Rivières', 'Voies de communication']",Vizille
Mémoire n°37,Vizille et ses commerces : La rue Aristide Briand (rue d'Italie)  ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°37,II - Le parc du vieux château du roi  ,['Denis bellon'],['Bâtiments et édifices'],Vizille
Mémoire n°37,Souvenirs d'enfance de Gavet au Poursollet  ,['Annie achard'],['Vie locale'],Livet et gavet
Mémoire n°37,Centenaire des sapeurs-pompiers de Brié et Angonnes : 1909-2009  ,['Paul wohlschlegel'],['Evènements'],Brié
Mémoire n°37,L'auto-école il y a 40 ans  ,['Robert guillaud'],['Vie locale'],Vizille
Mémoire n°37,La prise du château de Champ par Lesdiguières le 1er avril 1587  ,['Robert aillaud'],['Evènements'],Champ sur drac
Mémoire n°37,Une très jeune dame de 100 ans  ,['Renée gachet berthon'],['Personnages remarquables'],Vizille
Mémoire n°37,Le petit musée de la coiffure  ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°37,Curiosités de nos archives communales - Les curés racontent l'histoire ,['Pierre coing boyat'],"['Bâtiments et édifices', 'Religions']",Haute-jarrie
Mémoire n°38,Adrienne  ,['Robert aillaud'],['Personnages remarquables'],Jarrie
Mémoire n°38,La pierre plate à Rioupéroux  ,['Annie achard'],['Lieux remarquables'],Rioupéroux
Mémoire n°38,Vizille et ses comerces : la boucherie Cret - 1908 à 1979 -1ère partie de la rue Jean Jaurès ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°38,Vizille et ses commerces : La rue Aristide Briand (rue d'Italie) - 2ème partie  ,['Jeannette della-vedova'],['Vie locale'],Vizille
Mémoire n°38,Brié et ses environs en 1922 : promenade d'automne autour des 4 Seigneurs  ,['J. vaujany'],['Vie locale'],Villeneuve d'uriage
Mémoire n°38,Ou l'on retrouve les Hache ?  ,['Pierre melquiond'],['Personnages remarquables'],Brié
Mémoire n°38,Une ténébreuse affaire : la conspiration Didier  ,['Alain romestant'],['Evènements'],Pays vizillois
Mémoire n°38,L'histoire dans les archives - Le fonds Jouvin - Carnet du Sieur Corréard  ,['Pierre coing boyat'],['Documents remarquables'],Jarrie
Mémoire n°38,L'alambic de la Gaffe  ,['Renée rodolphe vigroux'],['Vie locale'],Vizille
Mémoire n°38,Le chateau de paille dans les années 50  ,['Michèle ferrafiat delahaye'],['Vie locale'],Vizille
Mémoire n°38,Histoires d'eaux au château de Paille  ,['Denis bellon'],"['Canaux et fontaines', 'Eau', 'Rivières']",Vizille
Mémoire n°38,Ozias Féronce : un grand astronome vizillois méconnu  ,['Robert aillaud'],['Personnages remarquables'],Vizille
Mémoire n°38,Attention... aux excès de vitesse !  ,['Bernard mingone'],['Documents remarquables'],Séchilienne
Mémoire n°39,Hommage à Pierre Melquiond  ,['Robert aillaud'],['Personnages remarquables'],Brié et angonnes
Mémoire n°39,Histoire de la Poste (1e partie) à Vizille  ,['Paul fournier'],"['Vie locale', 'Voies de communication']",Vizille
Mémoire n°39,Sur la route de Montchaffrey  ,['Jeannette della-vedova'],['Voies de communication'],Montchaffrey
Mémoire n°39,Le secret d'Hercule - Conte de Noël  ,['Jeannette della-vedova'],['Contes et légendes'],Vizille
Mémoire n°39,Un ouvrage sur le château de Bon Repos  ,[],['Bâtiments et édifices'],Jarrie
Mémoire n°39,L'histoire dans les archives (suite)  ,['Pierre coing boyat'],['Documents remarquables'],Jarrie
Mémoire n°39,L'authenticité éxigée par l'histoire  ,['Pierre melquiond'],['Documents remarquables'],Brié et angonnes
Mémoire n°39,Emile Rivet  ,['Germaine billon'],['Personnages remarquables'],Saint pierre de mésage
Mémoire n°39,Les cavalcades à Vizille (1e partie)  ,['Danielle amar'],['Evènements'],Vizille
Mémoire n°39,"1310 - 2010, déjà 700 ans! Les libertés communales de Vizille  ",['Denis bellon'],['Documents remarquables'],Vizille
Mémoire n°39,Les chroniques oubliées : le contrat de mariage  ,['Claude ferradou'],['Documents remarquables'],Saint pierre de mésage
Mémoire n°39,Appel à recettes  ,['Denis bellon'],['Cuisine et recettes'],Pays vizillois
Mémoire n°41,Témoignage de Micheline Hauss  ,['Micheline hauss'],['Personnages remarquables'],Vizille
